index,target,tags
49966,49,cloud | green | lush | mountain | sky
9568,78,bow | christmas | christmas ornament | decorate | evergreen | green | greenery | red | ribbon | tree
32828,47,baseball glove | bat | field | golf course | green | lush | park | sky | tree
26640,7,blanket | bottle | cloth | green | ledge | pen | sit
38118,18,baseball bat | bat | green | tube | yellow
37054,78,cube | food | person | nut | peanut | potato | produce | tofu
30446,17,building | campus | pillar | courthouse
9805,9,alcohol | beverage | bottle | container | liquor | display | fill | juice | laboratory | liquid | showcase | test tube
7705,22,alarm | alarm clock | clock | white
12553,27,animal | food | pet | stare
2976,97,animal | dog | grass | husky | lush | stare | white
28122,85,car | park | picnic table | pole | road sign | sign | stop sign | tank | street sign | traffic sign | tree
20291,69,building | display | missile | night view | rocket | space shuttle | spacecraft
27663,13,camper | car | park | recreational vehicle | schooner | van | white
46638,21,blanket | face | girl | hide | hood | hoodie | person | robe | selfie | sweatshirt | wear | woman
6125,55,building | sky
12515,78,cross | knot | measuring tape | pencil | string | tape | toy | yellow
11956,84,armchair | chair | table | dining room | dinning table | room | wood wall
39025,11,blue | boy | child | girl | person | laugh | shirt | smile
24662,73,girl | person | man | pool | stand | swim | swimmer | underwater | walk | water | wetsuit | woman
40662,10,pottery | container | pot
409,5,bed | bed frame | bedroom | chair | cross | floor | headboard | nightstand | room | throne
9715,65,animal | bird house | grass | green | lush | squirrel | stand | tree | woodpecker
40122,23,tree
30817,59,building | sea | palm tree | street sign | tree
13845,30,animal | aquarium | diver | dolphin | grampus | humpback whale | sea | sea lion | seal | tank | swim | underwater | water | wetsuit | whale
38071,91,animal | cage | food | mouse | paw | pet
32604,67,attach | cloudy | green | hang | intersection | pole | sky | stop light | traffic light | street sign | traffic sign
47902,57,apple tree | apricot | bud | close-up | fruit | green | grow | hang | peach | plant | plum | stem | tree
22171,2,baby | chair | infant bed | feeding chair | selfie | sit
1485,86,attach | dial | phone
45701,35,bicycle helmet | face | girl | goggles | make | mouth | selfie | tie | wear | woman
1675,36,animal | brown | dog | floor | food | neckband | stare | white
37443,53,lamp | ceiling | light | orange | paper lantern | stop light | traffic light | string
184,79,girl | person | man | red | stand | woman
16778,81,car | intersection | road | stop light | traffic light | street sign | traffic sign
46452,54,blade | daisy | flower | grass | green | iris | orchid | petal | pink | plant | purple | stem | white
24194,84,baseball hat | chair | floor | red | room | stool
28264,74,animal | bear | bear cub | brown | brown bear | brush | floor | grass | green | habitat | hide | lush | stone | vegetation
9235,70,bloom | close-up | flower | garden | plant | rose | white | yellow
4836,5,bathroom | bathroom accessory | bed | bedroom | lamp | comfort | nightstand | pillow | room | wall lamp | stool | white | window
48623,47,building | car | car window | image | sky | train window | tree | window
22677,44,animal | brown | floor | jump | pillow | tile wall
22859,1,animal | aquarium | blowfish | fish | goldfish | tank | swim | yellow
33678,51,food | fungi | grow | mushroom | stuff | white
37811,54,fill | flower | glass vase | orchid | pink | purple | stem | vase
10376,7,beer bottle | bottle | can | floor | grass | green | teal
8944,33,path | forest | green | greenery | lush | tree | wood
46035,18,bathroom | bathroom accessory | bathroom sink | door handle | green | razor | tool
43053,38,animal | figurine | sculpture | stool
3170,68,car | car window | image | road | street sign
18542,23,plane | airplane window | cloud | floor | fly | sea | sky
24778,49,car window | plain | sky | train track | train window
42492,35,child | couch | girl | lap | pillow | purple | sit | woman
4130,53,citrus fruit | display | fruit | fruit stand | grapefruit | lemon | orange | produce | tangerine
19576,21,animal | monkey | stare
36826,81,blue | building | car | city | city bus | drive | factory | power station | sky | urban
35317,75,animal | badger | cage | floor | rain | stand
3543,23,cloud | cloudy | image | sky
47882,97,animal | floor | stand
33577,43,animal | close-up | face | polar bear | stare | white
25346,48,dirt bike | man | moped | motorbike | motorcycle | motorcyclist | ride | scooter | stunt | tricycle | wheelie
18506,26,car | grass | green | toy | toy car
16786,51,bud | flower | grow | peach | pink | plant | poppy | stem | tree | tulip
29950,22,clock | lamp | footstall | mantle | pendulum | room
46592,42,animal | cage | guinea pig | hamster | pet | pillow | stone | rodent
30316,68,taxi | car | drive | highway | green | road | travel | yellow
27368,11,animal | blue | boy | catch | child | hand | pillow | shirt | stuff | sun hat | toddler | toy | wear | white
30962,85,home appliance
3740,59,green | hedge | lush | park | park bench | tree
34885,70,bush | close-up | flower | garden | green | greenery | lush | petal | pink | plant | red | rose
20043,73,animal | aquarium | jaw | mouth | sea | shark | tank | swim | underwater | water | white
214,36,animal | bagel | catch | donut | food | pastry | pet | pretzel
7508,33,area | brush | fern | forest | green | lush | tree | wood
41380,45,cage | chair | child | doll | person | stool | woman
23624,26,bird | dolphin | fly | fruit | jump | pod | sculpture | sky | trick
49766,53,apple | apricot | citrus fruit | fruit | grapefruit | lemon | orange | peach | peel | stem | tangerine | yellow
4219,95,animal | blue | sea | sky | water | whale | white
44307,18,banana | butter | green | lip balm | package | peel | toothpaste | tube
21951,4,animal | catch | hand | person | image | pet | photo
4173,89,equipment | football field | grass | green | lush | miniature | mower | red | tractor
42847,0,alarm clock | apple | clock | table | display | electronic | fruit | red | scale | sit
34181,7,bee | bloom | bug | bumblebee | close-up | flower | garden | insect | nectar | pink | pollen | yellow
19756,95,fighter jet | blue | grampus | jet | sea | sky | tank | swim | swimmer | whale
5184,97,animal | face | image | pet | photo | stare
16677,12,car | car window | overpass | rail | train track | train window
38910,51,animal | brown | fern | floor | forest | forest floor | fungi | grass | green | grow | hide | lush | plant | snail | stem | vegetation | weed | wood
27878,14,bird feeder | bird house | green | greenery | plant | tree
8299,57,fruit | gourd | green | hang | plant | stem | tree | yellow
21761,36,animal | floor | lay | pet | pillow | toy
35823,47,building | city park | lush | park | park bench | skateboarder | tree
31040,25,armchair | blue | lamp | couch | floor | hardwood floor | living room | pillow | room | wood floor
9521,99,boulder | climb | climber | floor | stone | rock climber | rock climbing | rock face | string
24095,74,animal | bear cub | black | brush | grass | hide | lush | stand | tree | vegetation | walk
18706,54,close-up | flower | glass vase | orchid | pink | plant | purple | stem | white
26496,88,animal | bush | cage | enclosure | fence | floor | hide | lay | squirrel | stare | tree
42287,56,palm tree | sky | tree
9852,62,beer bottle | bottle | flower | glass vase | poppy | red | stem | vase
7209,49,animal | sea | sky | stand | white
5205,18,butterfly | caterpillar | close-up | flower | green | insect | larva | parsley | plant | stem | yellow
17726,26,image | umbrella
34001,24,bat | bug | building | fly | sky
34696,40,cross | gun | red
47400,91,carp | fish | hook
38169,31,animal | brown | moose | stand | walk
38730,94,armoire | bookshelf | cabinet | closet | dresser | room
38000,9,alcohol | beer | beer bottle | beverage | bottle | liquor | liquid
49088,83,neon light
24113,12,image
21890,23,blue | cloud | cloudy | sea | sky
19866,44,animal | chameleon | gecko | green | lizard | parrot | reptile | sit | stool | tree frog
24576,93,animal | attach | fly | green | hang | sea | parachute | sea turtle | sky | string | stuff | toy
36570,20,armchair | beach chair | chair | daybed | pad | stool
34480,5,bed | bedcover | bed frame | bedroom | lamp | chair | dresser | floor | nightstand | pillow | room | stool | twin
46696,72,animal | blanket | blue | car window | cloth | dog | lay | pillow | toy
37211,10,container | cup | green | lid | plastic | red
2873,41,lawn | mower
1820,64,animal | cage | ferret | floor | hamster | mouse | pet | possum | rat | rodent | stand | stare
8132,30,animal | dolphin | grampus | man | sea | seal | sun hat | swim | water | wetsuit | whale
22070,70,flower | pink | rose
21845,83,bell pepper | catch | hand | food | home appliance | person | kitchen counter | pepper | red | vegetable | woman
4887,99,brush | toilet seat | white
14284,76,building | glass building | office building | skateboarder | sky | street sign
3708,0,apple | fruit | red | stem
34742,73,animal | aquarium | fish | girl | goggles | sea | shark | stare | stingray | tank | swim | underwater | wear
2018,86,attach | bathroom accessory | bottle | electronic | hook | mouthwash | soap | toiletry | toothpaste | tube
43583,99,clock | face | sky | wall clock
16375,41,car | drive | karting | miniature | motorcycle | mower | red | ride | road | scooter | sports car | toy car
12412,39,building | office building | street sign
17649,92,daffodil | flower | plant | stem | yellow
46577,64,animal | car | floor | person | skate | man | ski slope | ride | skateboarder | skier | snow | snowboarder | walk
15772,68,building | car | road | sky
21819,55,animal | fur | ledge | sea | otter | stone | sea lion | seal | stand
11221,41,mower | yellow
6235,45,
22280,77,bookshelf | chair | living room | room | snail
15401,49,building | dock | sea | sky | water
47768,19,car | chair | flood | lamp post | park bench | pole | road | street sign | umbrella
24764,87,flat | television
6179,53,apple juice | bottle | citrus fruit | table | fruit | jug | juice | lemon | lemon juice | liquid | orange | orange juice | squeeze | tangerine | white
48101,79,attach | black | lamp | ceiling | ceiling fan | disco ball | hang | spider | white
49003,65,animal | field | grass | grassy | green | lush | squirrel | stand
48797,40,lamp post | pole | skateboarder | sky | street sign
38191,16,spray can | alcohol | bottle | can | table | lip balm | liquid | shampoo | spray | toothpaste | tube
23060,71,calm | horizon | lake | sea | sky | sun | sunset | water
29327,96,green | lake | lush | park | park bench | pond | tree | water
20956,38,animal | glass door | green | parrot | pet | selfie
22320,20,bench | brown | chair | daybed | stool
42234,84,chair | cloth | curtain | table | dining room | dinning table | floor | hardwood floor | kitchen table | pink | room | stool | tablecloth | wine glass | wood floor
44935,75,animal | badger | black | floor | lay | neckband | polecat | stone | tail | white
39467,70,bud | flower | garden | greenery | grow | hibiscus | hibiscus flower | plant | red | rose | stem
32081,42,animal | bear | figurine | polar bear | sculpture | white
34359,11,boy | ledge | man | park bench | shirt | sit | wear
30588,14,boy | wear
48677,5,bed | bedroom | floor | hardwood floor | nightstand | pillow | room | twin | wood floor
12815,63,animal | cowboy hat | enclosure | fence | hat | rail | stand | straw hat | sun hat | tree | wear
35383,45,animal | carpet | floor | lay | pet | pillow | teddy | toy
33818,19,animal | brown | cattle | cow | field | horse | grass | grassy | graze | green | herd | lush | open | pasture | stand
35251,87,computer | computer monitor | computer screen | table | monitor | stool
47268,59,boy | child | flood | person | man | rain | road | stand | tree | yellow
4675,58,car | garage | miniature | model car | toy car | warehouse | white
49775,37,football field | palm tree | pole | street sign
34272,2,black | bow tie | boy | cocktail dress | man | photo | tie | wear | white
46390,1,aquarium | fish | fishbowl | goldfish | hide | koi | plant | red | tank | swim
38755,92,flower | grass | green | lush | pink | plant | red | weed | wildflower
47451,89,construction site | dozer | equipment | sky | train track | yellow
1765,47,autumn tree | fall | green | lush | park | red | sky | tree
43305,49,animal | flower | green | lush | plant | purple | sky | stand | tulip
37217,16,bookshelf | container | lid | shelf | yellow
35216,6,daffodil | flower | fruit | orange | wine glass | yellow
44851,12,bridge | car | drive
7577,0,apple | fruit | orange | red | stem
44515,6,black | daisy | flower | pink | yellow
34403,21,animal | ape | chimpanzee | monkey | orangutan | selfie | stare
6251,64,animal | black | chimpanzee | floor | room | stare
22861,89,canopy | chair | table | gazebo | park | picnic table | stool | swing | tablecloth
15074,47,car | car window | person | sky | stop sign | traffic sign | tree
14523,54,flower | glass vase | lily | orchid | stem | white
27348,70,bouquet | fill | flower | glass vase | hydrangea | pink | vase
23865,92,flower | garden | greenery | red | stem | tulip | yellow
31638,2,bottle | boy | brush | child | table | food | liquid | mouth | shirt | sip | soap | toothpaste | yellow
37603,76,blue | building | cloud | cloudy | missile | obelisk | tower | rocket | sky | spire
44254,95,diver | goggles | person | skate | man | pool | stand | swim | swimmer | water | wetsuit
19470,10,food | fruit | onion | potato | produce | snail | toy | vegetable
20924,73,aquarium | blue | diver | dolphin | fin | grampus | sea | pod | shark | tank | swim | underwater | water | whale
1950,60,crop | field | green | man | plow | stand | wheat field
2604,20,chair | stool
3604,21,baseball bat | baseball glove | bat | batman | batter | person | man | stand
37001,78,brush | catch | cigarette | hand | person | man | phone | selfie | tie | woman
6654,41,lawn | man | motorcycle | mower | red | scooter
30242,57,fruit | green | plant | stem
49671,96,golf course | green | lush | man | tree
12648,22,sign
35738,99,animal | green | plant
23486,56,dirt field | sea | palm tree | sand | tree
45244,78,scissors | shear | tool
47764,1,catch | fish | goldfish | person | man | stand | woman | yellow
13111,93,animal | food | pet
47061,25,chair | pet | red | stool | toy | toy car
4951,63,animal | bear cub | bison | brown | brown bear | snow | stand | stare | walk
37754,22,alarm clock | clock | motorcycle | record player | radio
7863,83,catch | fill | flower | fruit | orange | yellow
2667,47,autumn tree | image | sky | tree
38314,37,building | person | hut
19426,94,chest | lamp | bureau | cabinet | closet | drawer | dresser | file cabinet | furniture | nightstand | white
12737,61,cherry | green | red
12302,6,animal | pad | floor | green | mat | miniature | pet | toy | yoga mat
9080,51,animal | baseball glove | brown | floor | toy
22350,64,animal | black | cage | enclosure | floor | hay | nose | pet | stand | stare | toy | white
26595,34,animal | fox | pole | red | sky | stand
21971,16,beverage | can | container | cup | paper cup | lid | liquid | soda | straw | tin | toothpaste | yoghurt
45086,55,animal
48714,58,taxi | car | drive | miniature | model car | sports car | toy | toy car | yellow
27764,75,doodle | floor
26793,68,car | car window | curve | highway | road | road sign | rural | windshield
49049,43,animal | brush | catch | dog | mouth | pet | selfie | toothpaste | toy
23336,69,pad | launch | lift | missile | mission | rocket | satellite | sky | space | space shuttle | spacecraft
44917,52,lush | park | tree
19085,79,table | glass table | glass vase | miniature
27836,60,building | city | city skyline | city view | dusk | horizon | night view | sea | sky | sunset | train window | urban
7676,24,alcohol | beer | beer bottle | beetle | beverage | bottle | brown | bug | close-up | roach | insect | pest | scorpion | spider
16363,49,sky
3405,85,car | park | road | skateboarder | tree
34005,33,woman
13158,81,building | bus | bus stop | car | city bus | city street | decker bus | drive | license plate | red | road | street scene | travel
9801,98,doll | girl | hair | living room | room | stand | stool | woman
40635,73,animal | aquarium | blue | dolphin | fin | grampus | marine | sea | pod | tank | swim | water | whale | white
35885,43,bite | brown | brush | dog | food | mouth | paw | pet | selfie | toy | treat
48158,94,cabinet | room
27369,6,ant | blade | bud | bug | flower | leaf | green | insect | nectar | plant | stem
14067,8,boy | curve | desert road | highway | person | skate | man | ramp | ride | road | skateboard | skateboarder | skater | trick
29551,64,animal | bat | blue | container | floor | food | hat | hide | mouse | pet | possum | stair | stool | toy | wear
1804,2,baby | car seat | chair | feeding chair | teething ring | shirt | wear
18798,16,toilet paper | bottle | chessboard | chess | floor | green | liquid | toothpaste | tube
22458,17,building | car | courthouse | plaza | white house
23501,13,bus | park | school bus | yellow
38387,94,bureau | cabinet | drawer | dresser | oven | stool
48088,52,field | golf course | grass | grassy | green | lush | park | tree
23516,49,car window | hut | mountain | mountain view | pyramid | sky | volcano
16702,38,animal | cage | chair | dog | donkey | pet | stand | stool
22611,10,can | cloth | container | cylinder | lid | liquid | silver | tin
